disease,drug_condition
(vertigo) Paroymsal  Positional Vertigo,Vertigo
AIDS,HIV Infection
Acne,Acne
Alcoholic hepatitis,Alcoholic Liver Disease
Allergy,Allergies
Arthritis,Rheumatoid Arthritis
Bronchial Asthma,Asthma
Cervical spondylosis,Cervical Spondylosis
Chicken pox,Chickenpox
Chronic cholestasis,Primary Biliary Cholangitis
Common Cold,Cold Symptoms
Dengue,Dengue Fever
Diabetes,"Diabetes, Type 2"
Dimorphic hemmorhoids(piles),Hemorrhoids
Drug Reaction,Drug Hypersensitivity
Fungal infection,Tinea Corporis
GERD,GERD
Gastroenteritis,Gastroenteritis
Heart attack,Heart Attack
Hepatitis B,Hepatitis B
Hepatitis C,Hepatitis C
Hepatitis D,Hepatitis
Hepatitis E,Hepatitis
Hypertension,High Blood Pressure
Hyperthyroidism,Hyperthyroidism
Hypoglycemia,Hypoglycemia
Hypothyroidism,Hypothyroidism
Impetigo,Impetigo
Jaundice,Jaundice
Malaria,Malaria
Migraine,Migraine
Osteoarthristis,Osteoarthritis
Paralysis (brain hemorrhage),Stroke
Peptic ulcer diseae,Peptic Ulcer Disease
Pneumonia,Pneumonia
Psoriasis,Psoriasis
Tuberculosis,"Tuberculosis, Active"
Typhoid,Typhoid Fever
Urinary tract infection,Urinary Tract Infection
Varicose veins,Varicose Veins
hepatitis A,Hepatitis A
